,Date,MarketPrice
362,2014-09-18,2011.36
363,2014-09-19,2010.4
364,2014-09-22,1994.29
365,2014-09-23,1982.77
366,2014-09-24,1998.3
367,2014-09-25,1965.99
368,2014-09-26,1982.85
369,2014-09-29,1977.8
370,2014-09-30,1972.29
371,2014-10-01,1946.16
372,2014-10-02,1946.17
373,2014-10-03,1967.9
374,2014-10-06,1964.82
375,2014-10-07,1935.1
376,2014-10-08,1968.89
377,2014-10-09,1928.21
378,2014-10-10,1906.13
379,2014-10-13,1874.74
380,2014-10-14,1877.7
381,2014-10-15,1862.49
382,2014-10-16,1862.76
383,2014-10-17,1886.76
384,2014-10-20,1904.01
385,2014-10-21,1941.28
386,2014-10-22,1927.11
387,2014-10-23,1950.82
388,2014-10-24,1964.58
389,2014-10-27,1961.63
390,2014-10-28,1985.05
391,2014-10-29,1982.3
392,2014-10-30,1994.65
393,2014-10-31,2018.05
394,2014-11-03,2017.81
395,2014-11-04,2012.1
396,2014-11-05,2023.57
397,2014-11-06,2031.21
398,2014-11-07,2031.92
399,2014-11-10,2038.26
400,2014-11-11,2039.68
401,2014-11-12,2038.25
402,2014-11-13,2039.33
403,2014-11-14,2039.82
404,2014-11-17,2041.32
405,2014-11-18,2051.8
406,2014-11-19,2048.72
407,2014-11-20,2052.75
408,2014-11-21,2063.5
409,2014-11-24,2069.41
410,2014-11-25,2067.03
411,2014-11-26,2072.83
412,2014-11-27,
413,2014-11-28,2067.56
414,2014-12-01,2053.44
415,2014-12-02,2066.55
416,2014-12-03,2074.33
417,2014-12-04,2071.92
418,2014-12-05,2075.37
419,2014-12-08,2060.31
420,2014-12-09,2059.82
421,2014-12-10,2026.14
422,2014-12-11,2035.33
423,2014-12-12,2002.33
424,2014-12-15,1989.63
425,2014-12-16,1972.74
426,2014-12-17,2012.89
427,2014-12-18,2061.23
428,2014-12-19,2070.65
429,2014-12-22,2078.54
430,2014-12-23,2082.17
431,2014-12-24,2081.88
432,2014-12-25,
433,2014-12-26,2088.77
434,2014-12-29,2090.57
435,2014-12-30,2080.35
436,2014-12-31,2058.9
437,2015-01-01,
438,2015-01-02,2058.2
439,2015-01-05,2020.58
440,2015-01-06,2002.61
441,2015-01-07,2025.9
442,2015-01-08,2062.14
443,2015-01-09,2044.81
444,2015-01-12,2028.26
445,2015-01-13,2023.03
446,2015-01-14,2011.27
447,2015-01-15,1992.67
448,2015-01-16,2019.42
449,2015-01-19,
450,2015-01-20,2022.55
451,2015-01-21,2032.12
452,2015-01-22,2063.15
453,2015-01-23,2051.82
454,2015-01-26,2057.09
455,2015-01-27,2029.55
456,2015-01-28,2002.16
457,2015-01-29,2021.25
458,2015-01-30,1994.99
459,2015-02-02,2020.85
460,2015-02-03,2050.03
461,2015-02-04,2041.51
462,2015-02-05,2062.52
463,2015-02-06,2055.47
464,2015-02-09,2046.74
465,2015-02-10,2068.59
466,2015-02-11,2068.53
467,2015-02-12,2088.48
468,2015-02-13,2096.99
469,2015-02-16,
470,2015-02-17,2100.34
471,2015-02-18,2099.68
472,2015-02-19,2097.45
473,2015-02-20,2110.3
474,2015-02-23,2109.66
475,2015-02-24,2115.48
476,2015-02-25,2113.86
477,2015-02-26,2110.74
478,2015-02-27,2104.5
479,2015-03-02,2117.39
480,2015-03-03,2107.78
481,2015-03-04,2098.53
482,2015-03-05,2101.04
483,2015-03-06,2071.26
484,2015-03-09,2079.43
485,2015-03-10,2044.16
486,2015-03-11,2040.24
