,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
SPGI,1.027671,0.009,26.395763,33.29339,93066977280.0,11.599,14.63,2.43,50.440178,30.763,3583500032.0,28.442,0.433,0.52307,1.208,410.06,0.15935001,0.185,1.377,386.17
ELV,0.962537,0.0107,,,,,,1.33,,10.654,7475250176.0,68.325,-0.063,0.06625,1.224,546.74,0.17125,0.141,1.365,477.11
MS,1.407407,0.0368,0.58808184,11.516854,161855782912.0,7.832,153.38,,1.6531348,,,341.361,-0.249,0.0,,,,-0.117,,90.2
ORCL,0.837803,0.0164,14.669202,21.778154,206051917824.0,3.543,5.26,1.22,,14.363,7802625024.0,,-0.15,0.43550998,1.468,88.28,73.01087,0.055,1.621,77.16
INTU,1.136653,0.006,35.100437,63.15394,135571865600.0,7.581,13.64,2.21,13.439912,35.911,3726749952.0,43.305,0.185,0.28579,1.294,518.17,0.18591,0.35,1.631,478.77
GS,1.38527,0.024,8.739562,5.8004284,117312700416.0,60.63,40.24,-1.43,1.2776469,,,455.085,-0.485,0.0,1.685,393.53,0.14607,-0.277,2.44,351.68
LMT,0.730097,0.0271,16.318493,19.75448,118270820352.0,21.709,26.28,1.95,12.200568,16.721,3952750080.0,101.854,-0.822,0.11146,1.027,461.28,0.52388,-0.093,1.273,428.85
SCHW,1.098765,0.0127,19.666666,27.624666,137200836608.0,2.627,3.69,0.93,2.8867497,,,69.292,0.475,0.0,,86.91,,0.125,,72.57
NOW,1.032779,,69.1759,457.79105,99390554112.0,1.091,7.22,2.25,28.123768,130.908,2406000128.0,51.121,-0.657,0.10226,0.988,569.38,0.04927,0.243,1.124,499.45
CAT,0.993188,0.0242,17.798166,20.753103,104942747648.0,9.348,10.9,1.27,6.2972703,13.092,4762250240.0,219.828,0.032,0.19849001,0.863,220.04,0.38554,0.143,1.441,194.0
C,1.607066,0.039300002,6.878981,5.1146054,107150573568.0,10.558,7.85,-0.68,0.58590573,,,,-0.232,0.0,,60.46,0.08428001,-0.046,,54.0
ADP,0.823329,0.0173,33.497993,39.593353,105442918400.0,6.32,7.47,2.07,19.735783,23.376,5327875072.0,108.343,0.183,0.26548,0.084,236.75,0.66302,0.105,0.994,250.23
PLD,0.862068,0.0238,58.108223,50.767773,99239854080.0,2.644,2.31,-5.67,3.0589547,32.196,,46.408,0.017,0.69677,0.154,158.6,0.105229996,0.089,0.295,134.23
MDLZ,0.621541,0.024,20.73871,20.468004,89682624512.0,3.141,3.1,3.45,3.2376492,17.522,3020375040.0,71.502,-0.289,0.20145,0.385,73.09,0.14050001,0.095,0.678,64.29
BLK,1.26905,0.0292,17.246155,19.375383,110694318080.0,37.607,42.25,3.07,3.008017,13.338,,23.917,-0.209,0.40523997,,693.5,,-0.061,,728.65
SBUX,0.925074,0.0231,,,,,,3.9,,18.384,3006387456.0,,0.036,0.20517999,0.58,94.21,,0.145,0.828,87.27
DE,1.085142,0.013200001,14.407643,19.058453,111256748032.0,18.99,25.12,1.14,6.0493417,17.062,526249984.0,260.612,0.199,0.19400999,1.762,384.86,0.34907,0.109,2.073,361.92
CI,0.745849,0.0163,12.733749,11.9032755,94788411392.0,24.027,22.46,1.05,1.9989517,11.486,2813374976.0,73.102,0.115,0.05708,0.485,294.5,0.11532,0.066,0.811,286.0
AXP,1.142613,0.0135,16.855223,17.02601,126244888576.0,9.573,9.67,1.11,5.191426,,,183.043,-0.082,0.0,1.616,178.52,0.31197,0.197,1.626,162.99
PYPL,1.433375,,18.806452,23.830248,116447313920.0,4.159,5.27,1.56,5.267326,20.918,1773624960.0,48.668,-0.533,0.18934,0.201,112.62,0.17885,0.075,1.191,99.11
DUK,0.349084,0.0366,19.837296,27.751919,83481411584.0,3.91,5.47,3.43,1.7624701,13.559,-3504750080.0,137.407,-0.141,0.45380002,0.304,113.56,0.0684,0.16,0.716,108.51
CB,0.746275,0.0176,13.4124565,9.853076,83481911296.0,19.67,14.45,0.8,1.4078072,11.546,7510000128.0,41.851,-0.435,0.19044,0.203,,0.12821999,0.025,0.398,193.81
AMAT,1.503192,0.0098,11.9242935,16.489061,93764780032.0,6.4,8.85,1.02,7.686089,11.295,3592375040.0,50.522,0.217,0.33553,1.35,137.31,0.57322,0.119,2.292,105.53
ZTS,0.728395,0.0070999996,33.368015,41.740173,81935958016.0,4.149,5.19,3.13,17.521246,27.564,1330625024.0,144.912,0.077,0.41134998,1.454,229.18,0.47314,0.061,2.253,173.18
TMUS,0.473818,,44.324074,53.98872,179376062464.0,2.66,3.24,1.05,2.6213858,11.182,5230125056.0,160.031,,0.3214,0.629,171.16,0.02499,-0.012,0.847,143.61
NFLX,1.277564,,18.54087,21.882608,107504451584.0,11.091,13.09,2.4,7.0197253,17.836,16699799552.0,88.641,0.077,0.20075001,0.878,254.49,0.30934,0.086,1.045,242.7
ADI,1.093231,0.0177,20.511164,50.44798,91696529408.0,3.46,8.51,1.11,2.4135451,20.405,3021265664.0,16.855,0.307,0.47175997,1.438,195.38,0.06667,0.789,1.992,174.55
GILD,0.39123,0.048899997,9.183824,10.686174,78336032768.0,5.844,6.8,-5.77,3.6503391,7.192,8696375296.0,131.599,-0.989,0.48147,1.146,69.48,0.23101999,0.026,1.476,62.45
MO,0.633886,0.082100004,9.343686,30.207499,82903359488.0,1.494,4.83,1.78,,8.453,7589875200.0,,-0.577,0.59415,0.314,50.39,3.91081,-0.035,0.492,45.13
BA,1.367816,,35.268906,,98662916096.0,-14.511,4.76,-4.25,,1180.244,742499968.0,,-0.68,0.00196,0.283,,,-0.019,1.25,167.88
MMC,0.911025,0.014400001,25.294205,32.179585,85948276736.0,5.29,6.73,2.82,8.839902,16.634,3573750016.0,126.995,0.194,0.27659,1.08,177.13,0.32227,0.072,1.164,170.23
MMM,0.945083,0.0416,14.432016,14.801702,86242025472.0,10.111,10.37,33.7,5.9642134,11.128,3868499968.0,124.464,-0.947,0.24558,0.798,146.02,0.2938,-0.028,1.467,149.66
CME,0.438058,0.0201,27.151434,29.353983,71527596032.0,6.78,7.33,3.34,2.6157932,22.9,,12.273,0.282,0.65996003,0.018,226.0,0.10677,0.051,1.018,199.02
BKNG,1.254576,,20.559475,223.10919,84737572864.0,9.25,100.38,0.38,15.283149,21.856,5173749760.0,231.351,,0.28588,1.629,2556.93,0.11382,1.362,1.722,2063.76
ISRG,1.270327,,42.37343,50.888313,84315078656.0,4.638,5.57,7.74,7.388324,38.356,1364887552.0,,-0.401,0.34015,4.597,255.2,0.12655,0.04,5.355,236.02
SO,0.487441,0.0354,22.00565,27.811495,82558418944.0,2.801,3.54,3.48,2.8777244,15.868,-802124992.0,170.429,1.943,0.34412998,0.457,74.12,0.08722,0.386,0.851,77.9
CCI,0.585355,0.0325,54.042297,62.305817,77312475136.0,2.871,3.31,3.54,9.07836,26.964,1426375040.0,351.698,0.256,0.58032,0.426,196.72,0.18643999,0.095,0.689,178.88
GE,1.071519,0.0044,19.874056,,86643253248.0,-0.419,3.97,0.58,2.3122911,12.783,40706998272.0,97.769,,0.10498,0.704,89.88,-0.118640006,0.022,1.126,78.9
VRTX,0.494252,,21.802986,35.039577,74282262528.0,8.338,13.4,2.54,7.8539743,21.021,1882163968.0,7.999,0.189,0.38516998,4.372,298.01,0.2465,0.216,4.752,292.16
BDX,0.648786,0.014199999,18.961987,37.868614,73940156416.0,6.85,13.68,4.38,3.1169267,16.322,2421874944.0,75.984,0.596,0.26035,0.821,273.18,0.07785,0.021,1.525,259.4
